c_id,y_id,i_id,measure
4,23,0,20355959237.21284
4,24,0,19622527479.691307
4,25,0,17702885393.509884
4,26,0,18891048818.74255
4,27,0,22255407684.69988
4,28,0,26040229793.069675
4,29,0,29885685142.91066
4,30,0,33113887817.97311
4,31,0,37834793730.31326
4,32,0,45964327558.88355
4,33,0,49297773130.1185
4,34,0,57008425295.8256
4,35,0,73447063319.30339
4,36,0,78039572221.60236
4,37,0,84952360922.46788
4,38,0,81577430181.40736
4,39,0,75173794497.03212
4,40,0,77860932151.8471
4,41,0,70979923960.3742
4,42,0,69736811435.10318
4,43,0,75643459839.60083
4,44,0,99210392857.6116
4,45,0,122964812046.0727
4,46,0,154788024805.80832
4,47,0,173605968179.25516
4,48,0,179638496278.5739
4,49,0,172389498444.6205
4,50,0,218537551220.07053
4,51,0,252251992029.4417
4,52,0,267122320056.7022
4,53,0,278384345259.4738
4,54,0,260541629960.72913
4,55,0,243919085308.78485
4,56,0,250339863130.84662
4,57,0,277746461078.3192
4,58,0,298231133532.7486
4,40,1,7.03517653
4,41,1,7.15104141
4,42,1,7.26602369
4,43,1,7.3333044
4,44,1,6.90114757
4,45,1,6.58871514
4,46,1,6.0351678
4,47,1,6.17537454
4,48,1,6.74047957
4,49,1,7.20918362
4,50,1,6.77489384
4,51,1,6.771789
4,52,1,7.02092081
4,53,1,7.44478367
4,54,1,7.80602661
4,55,1,8.29995557
4,56,1,8.52893972
4,0,2,3.1184056271981198
4,1,2,3.5274472970152395
4,2,2,3.04370907803929
4,3,2,2.86539572501444
4,4,2,2.63518659558264
4,5,2,2.8857127330036403
4,6,2,2.73592085235921
4,7,2,2.71363263392334
4,8,2,2.52706817797327
4,9,2,2.26089998688066
4,10,2,4.45045063352876
4,11,2,6.26481544192347
4,12,2,6.625414195001091
4,13,2,6.283820900728079
4,14,2,7.10956116396779
4,15,2,6.74253666077988
4,16,2,6.08505082532873
4,17,2,6.915244813566391
4,18,2,6.7281223205458
4,19,2,6.33255633255633
4,20,2,6.482092869697841
4,21,2,7.02211888902853
4,22,2,8.87726773839499
4,23,2,7.5752226024099505
4,24,2,7.6054061762236005
4,25,2,6.90060861105455
4,26,2,6.28800219933844
4,27,2,5.63807107493349
4,28,2,4.13999607967718
4,29,2,3.59002950895468
4,30,2,3.40165485912065
4,31,2,2.8498427672956
4,32,2,2.62851046938573
4,33,2,2.70692293725521
4,34,2,2.5975449826478902
4,35,2,2.56206462916649
4,36,2,2.44932089847955
4,37,2,2.4982019239413797
4,38,2,2.58983722621321
4,39,2,2.7136315935113
4,40,2,2.70328204639642
4,41,2,2.66749517320965
4,42,2,2.5520930910302
4,43,2,2.73384321223709
4,44,2,2.70797513556408
4,45,2,2.52150287673621
4,46,2,2.49083177991398
4,47,2,2.31880220228835
4,48,2,2.5858318761462
4,49,2,2.2670395690905303
4,50,2,2.2422354113728002
4,51,2,2.25604304567862
4,52,2,2.0469416347204903
4,53,2,1.9864194739788
4,54,2,1.95820763854893
4,55,2,1.89786171068151
4,56,2,1.91848330067582
4,57,2,1.93561273288572
4,58,2,1.8873839461868502
5,11,3,1.38873994350433
5,12,3,1.60476005077362
5,13,3,1.65082001686096
5,14,3,1.76115000247955
